TIPREG,DATAPREG,CODDBI,CODNEG,TPMERC,NOMRES,ESPECI,PRAZOT,MODREF,PREABE,PREMAX,PREMIN,PREMED,PREULT,PREOFC,PREOFV,TOTNEG,QUATOT,VOLTOT,PREEXE,INDOPC,DATVEN,FATCOT,PTOEXE,CODISI,DISMES
1,2016-02-17,78,ITUBD10,70,ITUB,PN N1,000,R$,0.19,0.19,0.16,0.17,0.16,0.15,0.0,2,4200,732.0,30.4,0,2016-04-18,1,0.0,BRITUBACNPR1,198
1,2016-02-17,78,ITUBD11,70,ITUB,PN N1,000,R$,0.38,0.4,0.38,0.39,0.4,0.0,0.0,11,20800,8310.0,28.97,0,2016-04-18,1,0.0,BRITUBACNPR1,188
1,2016-02-17,78,ITUBD16,70,ITUB,PN N1,000,R$,0.11,0.12,0.11,0.11,0.12,0.0,0.12,4,14000,1580.0,31.7,0,2016-04-18,1,0.0,BRITUBACNPR1,188
1,2016-02-17,78,ITUBD24,70,ITUBE,PN N1,000,R$,0.31,0.39,0.3,0.33,0.3,0.08,0.36,23,39620,13247.3,29.2,0,2016-04-18,1,0.0,BRITUBACNPR1,189
1,2016-02-17,78,ITUBD27,70,ITUB FM,PN N1,000,R$,0.9,1.03,0.72,0.92,0.94,0.07,0.0,59,120800,111617.0,26.83,0,2016-04-18,1,0.0,BRITUBACNPR1,201
1,2016-02-17,78,ITUBD28,70,ITUBE,PN N1,000,R$,0.04,0.04,0.04,0.04,0.04,0.0,0.05,2,8000,320.0,34.2,0,2016-04-18,1,0.0,BRITUBACNPR1,188
1,2016-02-17,78,ITUBD29,70,ITUB,PN N1,000,R$,0.23,0.23,0.23,0.23,0.23,0.0,0.0,1,1200,276.0,29.9,0,2016-04-18,1,0.0,BRITUBACNPR1,202
1,2016-02-17,78,ITUBD36,70,ITUB,PN N1,000,R$,0.1,0.1,0.1,0.1,0.1,0.0,0.1,1,430,43.0,32.15,0,2016-04-18,1,0.0,BRITUBACNPR1,188
1,2016-02-17,78,ITUBD37,70,ITUB,PN N1,000,R$,0.06,0.06,0.06,0.06,0.06,0.0,0.0,1,1650,99.0,33.06,0,2016-04-18,1,0.0,BRITUBACNPR1,188
1,2016-02-17,78,ITUBD45,70,ITUBE,PN N1,000,R$,1.76,1.76,1.71,1.71,1.71,0.0,2.76,2,1700,2912.0,25.11,0,2016-04-18,1,0.0,BRITUBACNPR1,189
